x,y,d,s,T
0.00100002,0.00199296,-0.99995818,-1.00000000,0.00000000
0.00099980,0.00201799,-1.00000000,-0.99734395,0.00000000
0.00099905,0.00204301,-1.00000000,-0.99203187,0.00000000
0.00099765,0.00206800,-1.00000000,-0.98671978,0.00000000
0.00099563,0.00209295,-1.00000000,-0.98140769,0.00000000
0.00099300,0.00211785,-1.00000000,-0.97609561,0.00000000
0.00098974,0.00214266,-1.00000000,-0.97078352,0.00000000
0.00098585,0.00216739,-1.00000000,-0.96547144,0.00000000
0.00098136,0.00219202,-1.00000000,-0.96015935,0.00000000
0.00097624,0.00221652,-1.00000000,-0.95484727,0.00000000
0.00097051,0.00224089,-1.00000000,-0.94953519,0.00000000
0.00096419,0.00226510,-1.00000000,-0.94422310,0.00000000
0.00095724,0.00228915,-1.00000000,-0.93891102,0.00000000
0.00094971,0.00231302,-1.00000000,-0.93359894,0.00000000
0.00094158,0.00233670,-1.00000000,-0.92828685,0.00000000
0.00093285,0.00236016,-1.00000000,-0.92297477,0.00000000
0.00092355,0.00238340,-1.00000000,-0.91766269,0.00000000
0.00091366,0.00240639,-1.00000000,-0.91235061,0.00000000
0.00090320,0.00242913,-1.00000000,-0.90703852,0.00000000
0.00089218,0.00245161,-1.00000000,-0.90172644,0.00000000
0.00088060,0.00247380,-1.00000000,-0.89641436,0.00000000
0.00086845,0.00249569,-1.00000000,-0.89110227,0.00000000
0.00085578,0.00251727,-1.00000000,-0.88579018,0.00000000
0.00084257,0.00253853,-1.00000000,-0.88047810,0.00000000
0.00082882,0.00255945,-1.00000000,-0.87516601,0.00000000
0.00081456,0.00258003,-1.00000000,-0.86985392,0.00000000
0.00079979,0.00260023,-1.00000000,-0.86454183,0.00000000
0.00078451,0.00262005,-1.00000000,-0.85922974,0.00000000
0.00076875,0.00263951,-1.00000000,-0.85391765,0.00000000
0.00075250,0.00265854,-1.00000000,-0.84860557,0.00000000
0.00073577,0.00267717,-1.00000000,-0.84329348,0.00000000
0.00071860,0.00269538,-1.00000000,-0.83798140,0.00000000
0.00070097,0.00271314,-1.00000000,-0.83266931,0.00000000
0.00068289,0.00273046,-1.00000000,-0.82735723,0.00000000
0.00066440,0.00274733,-1.00000000,-0.82204514,0.00000000
0.00064549,0.00276373,-1.00000000,-0.81673306,0.00000000
0.00062617,0.00277964,-1.00000000,-0.81142098,0.00000000
0.00060646,0.00279508,-1.00000000,-0.80610890,0.00000000
0.00058636,0.00281000,-1.00000000,-0.80079681,0.00000000
0.00056591,0.00282443,-1.00000000,-0.79548473,0.00000000
0.00054510,0.00283834,-1.00000000,-0.79017265,0.00000000
0.00052394,0.00285171,-1.00000000,-0.78486057,0.00000000
0.00050246,0.00286456,-1.00000000,-0.77954848,0.00000000
0.00048066,0.00287687,-1.00000000,-0.77423640,0.00000000
0.00045856,0.00288862,-1.00000000,-0.76892431,0.00000000
0.00043618,0.00289983,-1.00000000,-0.76361223,0.00000000
0.00041352,0.00291046,-1.00000000,-0.75830015,0.00000000
0.00039060,0.00292052,-1.00000000,-0.75298806,0.00000000
0.00036744,0.00293002,-1.00000000,-0.74767597,0.00000000
0.00034404,0.00293892,-1.00000000,-0.74236389,0.00000000
0.00032043,0.00294723,-1.00000000,-0.73705180,0.00000000
0.00029662,0.00295497,-1.00000000,-0.73173971,0.00000000
0.00027263,0.00296209,-1.00000000,-0.72642762,0.00000000
0.00024846,0.00296860,-1.00000000,-0.72111553,0.00000000
0.00022414,0.00297453,-1.00000000,-0.71580344,0.00000000
0.00019968,0.00297983,-1.00000000,-0.71049136,0.00000000
0.00017509,0.00298451,-1.00000000,-0.70517927,0.00000000
0.00015039,0.00298860,-1.00000000,-0.69986719,0.00000000
0.00012560,0.00299205,-1.00000000,-0.69455511,0.00000000
0.00010073,0.00299487,-1.00000000,-0.68924302,0.00000000
0.00007579,0.00299709,-1.00000000,-0.68393094,0.00000000
0.00005081,0.00299867,-1.00000000,-0.67861886,0.00000000
0.00002580,0.00299963,-1.00000000,-0.67330677,0.00000000
0.00000077,0.00299997,-1.00000000,-0.66799469,0.00000000
-0.00002426,0.00299967,-1.00000000,-0.66268261,0.00000000
-0.00004927,0.00299875,-1.00000000,-0.65737053,0.00000000
-0.00007426,0.00299721,-1.00000000,-0.65205844,0.00000000
-0.00009919,0.00299503,-1.00000000,-0.64674636,0.00000000
-0.00012407,0.00299224,-1.00000000,-0.64143428,0.00000000
-0.00014887,0.00298883,-1.00000000,-0.63612219,0.00000000
-0.00017357,0.00298478,-1.00000000,-0.63081011,0.00000000
-0.00019816,0.00298014,-1.00000000,-0.62549802,0.00000000
-0.00022264,0.00297487,-1.00000000,-0.62018594,0.00000000
-0.00024696,0.00296898,-1.00000000,-0.61487385,0.00000000
-0.00027114,0.00296251,-1.00000000,-0.60956176,0.00000000
-0.00029515,0.00295542,-1.00000000,-0.60424968,0.00000000
-0.00031897,0.00294772,-1.00000000,-0.59893758,0.00000000
-0.00034260,0.00293945,-1.00000000,-0.59362550,0.00000000
-0.00036600,0.00293058,-1.00000000,-0.58831341,0.00000000
-0.00038918,0.00292112,-1.00000000,-0.58300132,0.00000000
-0.00041211,0.00291110,-1.00000000,-0.57768923,0.00000000
-0.00043479,0.00290050,-1.00000000,-0.57237715,0.00000000
-0.00045719,0.00288932,-1.00000000,-0.56706506,0.00000000
-0.00047931,0.00287761,-1.00000000,-0.56175298,0.00000000
-0.00050112,0.00286533,-1.00000000,-0.55644090,0.00000000
-0.00052262,0.00285252,-1.00000000,-0.55112881,0.00000000
-0.00054380,0.00283918,-1.00000000,-0.54581673,0.00000000
-0.00056463,0.00282530,-1.00000000,-0.54050465,0.00000000
-0.00058512,0.00281090,-1.00000000,-0.53519257,0.00000000
