x,y,z
-0.00032,-0.00232,-0.005
-0.000295,-0.00232,-0.005
-0.00027,-0.00232,-0.005
-0.000245,-0.00232,-0.005
-0.00022,-0.00232,-0.005
-0.000195,-0.00232,-0.005
-0.00017,-0.00232,-0.005
-0.000145,-0.00232,-0.005
-0.00012,-0.00232,-0.005
-9.5e-05,-0.00232,-0.005
-7e-05,-0.00232,-0.005
-4.5e-05,-0.00232,-0.005
-2e-05,-0.00232,-0.005
5e-06,-0.00232,-0.005
3e-05,-0.00232,-0.005
5.5e-05,-0.00232,-0.005
8e-05,-0.00232,-0.005
0.000105,-0.00232,-0.005
0.00013,-0.00232,-0.005
0.000155,-0.00232,-0.005
0.00018,-0.00232,-0.005
0.000205,-0.00232,-0.005
0.00023,-0.00232,-0.005
0.000255,-0.00232,-0.005
0.00028,-0.00232,-0.005
0.000305,-0.00232,-0.005
0.00033,-0.00232,-0.005
-0.00047,-0.002295,-0.005
-0.000445,-0.002295,-0.005
-0.00042,-0.002295,-0.005
-0.000395,-0.002295,-0.005
-0.00037,-0.002295,-0.005
-0.000345,-0.002295,-0.005
-0.00032,-0.002295,-0.005
-0.000295,-0.002295,-0.005
-0.00027,-0.002295,-0.005
-0.000245,-0.002295,-0.005
-0.00022,-0.002295,-0.005
-0.000195,-0.002295,-0.005
-0.00017,-0.002295,-0.005
-0.000145,-0.002295,-0.005
-0.00012,-0.002295,-0.005
-9.5e-05,-0.002295,-0.005
-7e-05,-0.002295,-0.005
-4.5e-05,-0.002295,-0.005
-2e-05,-0.002295,-0.005
5e-06,-0.002295,-0.005
3e-05,-0.002295,-0.005
5.5e-05,-0.002295,-0.005
8e-05,-0.002295,-0.005
0.000105,-0.002295,-0.005
0.00013,-0.002295,-0.005
0.000155,-0.002295,-0.005
0.00018,-0.002295,-0.005
0.000205,-0.002295,-0.005
0.00023,-0.002295,-0.005
0.000255,-0.002295,-0.005
0.00028,-0.002295,-0.005
0.000305,-0.002295,-0.005
0.00033,-0.002295,-0.005
0.000355,-0.002295,-0.005
0.00038,-0.002295,-0.005
0.000405,-0.002295,-0.005
0.00043,-0.002295,-0.005
0.000455,-0.002295,-0.005
0.00048,-0.002295,-0.005
-0.00057,-0.00227,-0.005
-0.000545,-0.00227,-0.005
-0.00052,-0.00227,-0.005
-0.000495,-0.00227,-0.005
-0.00047,-0.00227,-0.005
-0.000445,-0.00227,-0.005
-0.00042,-0.00227,-0.005
-0.000395,-0.00227,-0.005
-0.00037,-0.00227,-0.005
-0.000345,-0.00227,-0.005
-0.00032,-0.00227,-0.005
-0.000295,-0.00227,-0.005
-0.00027,-0.00227,-0.005
-0.000245,-0.00227,-0.005
-0.00022,-0.00227,-0.005
-0.000195,-0.00227,-0.005
-0.00017,-0.00227,-0.005
-0.000145,-0.00227,-0.005
-0.00012,-0.00227,-0.005
-9.5e-05,-0.00227,-0.005
-7e-05,-0.00227,-0.005
-4.5e-05,-0.00227,-0.005
-2e-05,-0.00227,-0.005
5e-06,-0.00227,-0.005
3e-05,-0.00227,-0.005
5.5e-05,-0.00227,-0.005
8e-05,-0.00227,-0.005
0.000105,-0.00227,-0.005
0.00013,-0.00227,-0.005
0.000155,-0.00227,-0.005
0.00018,-0.00227,-0.005
0.000205,-0.00227,-0.005
0.00023,-0.00227,-0.005
0.000255,-0.00227,-0.005
0.00028,-0.00227,-0.005
0.000305,-0.00227,-0.005
0.00033,-0.00227,-0.005
0.000355,-0.00227,-0.005
0.00038,-0.00227,-0.005
0.000405,-0.00227,-0.005
0.00043,-0.00227,-0.005
0.000455,-0.00227,-0.005
0.00048,-0.00227,-0.005
0.000505,-0.00227,-0.005
0.00053,-0.00227,-0.005
0.000555,-0.00227,-0.005
0.00058,-0.00227,-0.005
-0.00067,-0.002245,-0.005
-0.000645,-0.002245,-0.005
-0.00062,-0.002245,-0.005
-0.000595,-0.002245,-0.005
-0.00057,-0.002245,-0.005
-0.000545,-0.002245,-0.005
-0.00052,-0.002245,-0.005
-0.000495,-0.002245,-0.005
-0.00047,-0.002245,-0.005
-0.000445,-0.002245,-0.005
-0.00042,-0.002245,-0.005
-0.000395,-0.002245,-0.005
-0.00037,-0.002245,-0.005
-0.000345,-0.002245,-0.005
-0.00032,-0.002245,-0.005
-0.000295,-0.002245,-0.005
-0.00027,-0.002245,-0.005
-0.000245,-0.002245,-0.005
-0.00022,-0.002245,-0.005
-0.000195,-0.002245,-0.005
-0.00017,-0.002245,-0.005
-0.000145,-0.002245,-0.005
-0.00012,-0.002245,-0.005
-9.5e-05,-0.002245,-0.005
-7e-05,-0.002245,-0.005
-4.5e-05,-0.002245,-0.005
-2e-05,-0.002245,-0.005
5e-06,-0.002245,-0.005
3e-05,-0.002245,-0.005
5.5e-05,-0.002245,-0.005
8e-05,-0.002245,-0.005
0.000105,-0.002245,-0.005
0.00013,-0.002245,-0.005
0.000155,-0.002245,-0.005
0.00018,-0.002245,-0.005
0.000205,-0.002245,-0.005
0.00023,-0.002245,-0.005
0.000255,-0.002245,-0.005
0.00028,-0.002245,-0.005
0.000305,-0.002245,-0.005
0.00033,-0.002245,-0.005
0.000355,-0.002245,-0.005
0.00038,-0.002245,-0.005
0.000405,-0.002245,-0.005
0.00043,-0.002245,-0.005
0.000455,-0.002245,-0.005
0.00048,-0.002245,-0.005
0.000505,-0.002245,-0.005
0.00053,-0.002245,-0.005
0.000555,-0.002245,-0.005
0.00058,-0.002245,-0.005
0.000605,-0.002245,-0.005
0.00063,-0.002245,-0.005
0.000655,-0.002245,-0.005
-0.000745,-0.00222,-0.005
-0.00072,-0.00222,-0.005
-0.000695,-0.00222,-0.005
