x,y,d,s,T
0.00100000,-0.00500000,1.00000000,-1.00000000,0.00000000
0.00100000,-0.00497499,1.00000000,-0.99499695,0.00000000
0.00100000,-0.00494998,1.00000000,-0.98999390,0.00000000
0.00100000,-0.00492497,1.00000000,-0.98499085,0.00000000
0.00100000,-0.00489996,1.00000000,-0.97998780,0.00000000
0.00100000,-0.00487495,1.00000000,-0.97498475,0.00000000
0.00100000,-0.00484995,1.00000000,-0.96998170,0.00000000
0.00100000,-0.00482494,1.00000000,-0.96497865,0.00000000
0.00100000,-0.00479993,1.00000000,-0.95997560,0.00000000
0.00100000,-0.00477492,1.00000000,-0.95497255,0.00000000
0.00100000,-0.00474991,1.00000000,-0.94996950,0.00000000
0.00100000,-0.00472490,1.00000000,-0.94496645,0.00000000
0.00100000,-0.00469989,1.00000000,-0.93996340,0.00000000
0.00100000,-0.00467488,1.00000000,-0.93496035,0.00000000
0.00100000,-0.00464987,1.00000000,-0.92995730,0.00000000
0.00100000,-0.00462486,1.00000000,-0.92495425,0.00000000
0.00100000,-0.00459985,1.00000000,-0.91995120,0.00000000
0.00100000,-0.00457484,1.00000000,-0.91494815,0.00000000
0.00100000,-0.00454984,1.00000000,-0.90994510,0.00000000
0.00100000,-0.00452483,1.00000000,-0.90494205,0.00000000
0.00100000,-0.00449982,1.00000000,-0.89993900,0.00000000
0.00100000,-0.00447481,1.00000000,-0.89493595,0.00000000
0.00100000,-0.00444980,1.00000000,-0.88993290,0.00000000
0.00100000,-0.00442479,1.00000000,-0.88492985,0.00000000
0.00100000,-0.00439978,1.00000000,-0.87992680,0.00000000
0.00100000,-0.00437477,1.00000000,-0.87492375,0.00000000
0.00100000,-0.00434976,1.00000000,-0.86992070,0.00000000
0.00100000,-0.00432475,1.00000000,-0.86491765,0.00000000
0.00100000,-0.00429974,1.00000000,-0.85991460,0.00000000
0.00100000,-0.00427473,1.00000000,-0.85491155,0.00000000
0.00100000,-0.00424973,1.00000000,-0.84990850,0.00000000
0.00100000,-0.00422472,1.00000000,-0.84490545,0.00000000
0.00100000,-0.00419971,1.00000000,-0.83990240,0.00000000
0.00100000,-0.00417470,1.00000000,-0.83489935,0.00000000
0.00100000,-0.00414969,1.00000000,-0.82989630,0.00000000
0.00100000,-0.00412468,1.00000000,-0.82489325,0.00000000
0.00100000,-0.00409967,1.00000000,-0.81989020,0.00000000
0.00100000,-0.00407466,1.00000000,-0.81488715,0.00000000
0.00100000,-0.00404965,1.00000000,-0.80988410,0.00000000
0.00100000,-0.00402464,1.00000000,-0.80488105,0.00000000
0.00100000,-0.00399963,1.00000000,-0.79987800,0.00000000
0.00100000,-0.00397462,1.00000000,-0.79487495,0.00000000
0.00100000,-0.00394962,1.00000000,-0.78987190,0.00000000
0.00100000,-0.00392461,1.00000000,-0.78486885,0.00000000
0.00100000,-0.00389960,1.00000000,-0.77986580,0.00000000
0.00100000,-0.00387459,1.00000000,-0.77486275,0.00000000
0.00100000,-0.00384958,1.00000000,-0.76985970,0.00000000
0.00100000,-0.00382457,1.00000000,-0.76485665,0.00000000
0.00100000,-0.00379956,1.00000000,-0.75985360,0.00000000
0.00100000,-0.00377455,1.00000000,-0.75485055,0.00000000
0.00100000,-0.00374954,1.00000000,-0.74984750,0.00000000
0.00100000,-0.00372453,1.00000000,-0.74484445,0.00000000
0.00100000,-0.00369952,1.00000000,-0.73984140,0.00000000
0.00100000,-0.00367451,1.00000000,-0.73483835,0.00000000
0.00100000,-0.00364951,1.00000000,-0.72983530,0.00000000
0.00100000,-0.00362450,1.00000000,-0.72483225,0.00000000
0.00100000,-0.00359949,1.00000000,-0.71982920,0.00000000
0.00100000,-0.00357448,1.00000000,-0.71482615,0.00000000
0.00100000,-0.00354947,1.00000000,-0.70982310,0.00000000
0.00100000,-0.00352446,1.00000000,-0.70482005,0.00000000
0.00100000,-0.00349945,1.00000000,-0.69981700,0.00000000
0.00100000,-0.00347444,1.00000000,-0.69481395,0.00000000
0.00100000,-0.00344943,1.00000000,-0.68981090,0.00000000
0.00100000,-0.00342442,1.00000000,-0.68480785,0.00000000
0.00100000,-0.00339941,1.00000000,-0.67980480,0.00000000
0.00100000,-0.00337440,1.00000000,-0.67480175,0.00000000
0.00100000,-0.00334940,1.00000000,-0.66979870,0.00000000
0.00100000,-0.00332439,1.00000000,-0.66479566,0.00000000
0.00100000,-0.00329938,1.00000000,-0.65979261,0.00000000
0.00100000,-0.00327437,1.00000000,-0.65478956,0.00000000
0.00100000,-0.00324936,1.00000000,-0.64978651,0.00000000
0.00100000,-0.00322435,1.00000000,-0.64478346,0.00000000
0.00100000,-0.00319934,1.00000000,-0.63978041,0.00000000
